Model,mean_Cl_R2,mean_Cl_RMSE,mean_Cd_R2,mean_Cd_RMSE,mean_Cm_R2,mean_Cm_RMSE,St_peak_R2,St_peak_RMSE,A_peak_R2,A_peak_RMSE
Means - Shorter Holdout,0.7525639533996582,2.0430625762692043,0.3365921378135681,1.092681853655679,-0.3173924684524536,1.0582425706847292,,,,
Means - Taller Holdout,-5.249825477600098,2.397138908807772,-9.1616792678833,1.502610716207721,-22.770160675048828,1.0746105242618695,,,,
Means - Baseline Holdout,0.8593859672546387,0.9166749968294744,0.1857389211654663,0.6153146600564267,-0.2121967077255249,0.6283411840138959,,,,
Spectral - Shorter Holdout,,,,,,,-0.48854541778564453,0.18678061246579652,0.47922223806381226,3.0881466454783997
Spectral - Taller Holdout,,,,,,,-1.123678207397461,0.08630389438809291,0.30635589361190796,2.0353491869243525
Spectral - Baseline Holdout,,,,,,,0.35115814208984375,0.0648329625291219,0.8190690279006958,1.3384312337995437
