Approach,mean_Cl R2,mean_Cl RMSE,mean_Cd R2,mean_Cd RMSE,St_peak R2,St_peak RMSE
Approach 1 (MLP Ensemble),0.7827993035316467,1.9141713636930524,0.3948001265525818,1.0436450608546302,-0.26836979389190674,0.17241445867665875
Approach 2 (Derivative MLP),0.6556864976882935,2.410056435173549,-2.351646661758423,2.4560235266102275,,
Approach 3 (ROM),-0.003799886212233483,4.115037312440161,-0.07957448377201581,1.3938938676990713,-0.6625592401288631,0.19739643891933187
Approach 4 (LightGBM),"[0.4885815801192993, 0.07513944134812844, 0.4256518031895873, 0.16607078807210085, 0.4839323769491002]","[1.8562270706285533, 1.7177239418970622, 1.6568982081637826, 1.6550275765818185, 1.610281003462548]","[0.711124694368308, 0.8345887602838665, 0.8212654447337151, 0.8275329548897595, 0.8225688881206763]","[0.7532818249615104, 0.5895755184440608, 0.74085535506799, 0.6749542596477893, 0.6243292369620478]","[0.18462241443573812, 0.10554000875937586, 0.12039868371052365, 0.0026649728297984954, 0.23866894305407838]","[0.10427048787279138, 0.0735770704094989, 0.0864796114716627, 0.09898565357675765, 0.10273194837335323]"
